t_s,Vxx_X_V,Vxx_Y_V,Vxx_R_V,Vxx_theta_deg,Vxy_X_V,Vxy_Y_V,Vxy_R_V,Vxy_theta_deg,VB_V
1.161516,6.607090000e-03,-1.754770000e-04,6.609470000e-03,-1.518000,1.092150000e-02,-4.410760000e-04,1.092150000e-02,-1.932000,2.960561920e+00
1.677366,6.600410000e-03,-1.873980000e-04,6.602790000e-03,-1.626000,1.092150000e-02,-4.162810000e-04,1.092150000e-02,-1.824000,2.960564160e+00
2.612113,6.599460000e-03,-1.888280000e-04,6.601840000e-03,-1.638000,1.092150000e-02,-4.134200000e-04,1.092150000e-02,-1.812000,2.960562880e+00
3.621813,6.598980000e-03,-1.888280000e-04,6.601840000e-03,-1.638000,1.092150000e-02,-4.134200000e-04,1.092150000e-02,-1.812000,2.960565120e+00
4.633099,6.598980000e-03,-1.888280000e-04,6.601840000e-03,-1.638000,1.092150000e-02,-4.129430000e-04,1.092150000e-02,-1.806000,2.960565120e+00
5.641802,6.598980000e-03,-1.888280000e-04,6.601840000e-03,-1.638000,1.092150000e-02,-4.124660000e-04,1.092150000e-02,-1.806000,2.958207680e+00
6.773697,6.597550000e-03,-1.888280000e-04,6.600410000e-03,-1.638000,1.092150000e-02,-4.119890000e-04,1.092150000e-02,-1.806000,2.953724160e+00
7.662441,6.594210000e-03,-1.883520000e-04,6.596600000e-03,-1.638000,1.092150000e-02,-4.115120000e-04,1.092150000e-02,-1.806000,2.950205760e+00
8.762688,6.589920000e-03,-1.878750000e-04,6.592780000e-03,-1.632000,1.092150000e-02,-4.100820000e-04,1.092150000e-02,-1.800000,2.945818880e+00
9.862318,6.586100000e-03,-1.873980000e-04,6.588490000e-03,-1.626000,1.092150000e-02,-4.096050000e-04,1.092150000e-02,-1.800000,2.941453440e+00
10.962399,6.582290000e-03,-1.873980000e-04,6.585150000e-03,-1.626000,1.092150000e-02,-4.081740000e-04,1.092150000e-02,-1.800000,2.937101760e+00
11.702554,6.578480000e-03,-1.869210000e-04,6.580860000e-03,-1.626000,1.092150000e-02,-4.067440000e-04,1.092150000e-02,-1.794000,2.934159680e+00
12.711721,6.574180000e-03,-1.864440000e-04,6.576570000e-03,-1.620000,1.092150000e-02,-4.053130000e-04,1.092150000e-02,-1.794000,2.930155840e+00
13.721493,6.570370000e-03,-1.859670000e-04,6.573230000e-03,-1.620000,1.092150000e-02,-4.029290000e-04,1.092150000e-02,-1.782000,2.926140800e+00
14.732126,6.566550000e-03,-1.854910000e-04,6.568940000e-03,-1.614000,1.092150000e-02,-4.034060000e-04,1.092150000e-02,-1.788000,2.922119040e+00
15.742174,6.561790000e-03,-1.850140000e-04,6.564170000e-03,-1.614000,1.092150000e-02,-4.010220000e-04,1.092150000e-02,-1.782000,2.918096960e+00
16.748159,6.557970000e-03,-1.845370000e-04,6.560830000e-03,-1.608000,1.092150000e-02,-3.991150000e-04,1.092150000e-02,-1.770000,2.914111360e+00
17.773374,6.554630000e-03,-1.840600000e-04,6.557490000e-03,-1.608000,1.092150000e-02,-3.981610000e-04,1.092150000e-02,-1.770000,2.910053440e+00
18.771230,6.550340000e-03,-1.840600000e-04,6.553200000e-03,-1.608000,1.092150000e-02,-3.976840000e-04,1.092150000e-02,-1.770000,2.906105920e+00
19.769647,6.546530000e-03,-1.831060000e-04,6.549390000e-03,-1.602000,1.092150000e-02,-3.962540000e-04,1.092150000e-02,-1.770000,2.902124800e+00
20.862584,6.542710000e-03,-1.831060000e-04,6.545570000e-03,-1.602000,1.092150000e-02,-3.943460000e-04,1.092150000e-02,-1.764000,2.897791040e+00
21.962527,6.538900000e-03,-1.826300000e-04,6.541760000e-03,-1.596000,1.092150000e-02,-3.924390000e-04,1.092150000e-02,-1.758000,2.893410880e+00
23.273706,6.535080000e-03,-1.816760000e-04,6.537470000e-03,-1.590000,1.092150000e-02,-3.700270000e-04,1.092150000e-02,-1.656000,2.888242560e+00
23.812062,6.530790000e-03,-1.816760000e-04,6.533180000e-03,-1.590000,1.092150000e-02,-3.676430000e-04,1.092150000e-02,-1.650000,2.886094080e+00
24.820408,6.526500000e-03,-1.811990000e-04,6.528880000e-03,-1.590000,1.092150000e-02,-3.767030000e-04,1.092150000e-02,-1.692000,2.882080640e+00
25.831327,6.523640000e-03,-1.807220000e-04,6.526020000e-03,-1.584000,1.092150000e-02,-3.814720000e-04,1.092150000e-02,-1.716000,2.878078720e+00
26.840985,6.519820000e-03,-1.802450000e-04,6.522210000e-03,-1.578000,1.092150000e-02,-3.809950000e-04,1.092150000e-02,-1.716000,2.874060160e+00
27.851830,6.516010000e-03,-1.797690000e-04,6.518390000e-03,-1.578000,1.092150000e-02,-3.805180000e-04,1.092150000e-02,-1.716000,2.869999680e+00
28.861711,6.512670000e-03,-1.797690000e-04,6.515060000e-03,-1.578000,1.092150000e-02,-3.800410000e-04,1.092150000e-02,-1.716000,2.866024640e+00
29.868629,6.507900000e-03,-1.788150000e-04,6.510290000e-03,-1.572000,1.092150000e-02,-3.795640000e-04,1.092150000e-02,-1.716000,2.862029760e+00
30.872519,6.504090000e-03,-1.783380000e-04,6.506470000e-03,-1.566000,1.092150000e-02,-3.776570000e-04,1.092150000e-02,-1.710000,2.858009920e+00
31.881332,6.499800000e-03,-1.778610000e-04,6.502180000e-03,-1.566000,1.092150000e-02,-3.762260000e-04,1.092150000e-02,-1.710000,2.854035520e+00
32.962539,6.496940000e-03,-1.773840000e-04,6.499320000e-03,-1.566000,1.092150000e-02,-3.752730000e-04,1.092150000e-02,-1.704000,2.849732160e+00
34.273722,6.492640000e-03,-1.769080000e-04,6.495030000e-03,-1.560000,1.092150000e-02,-3.733650000e-04,1.092150000e-02,-1.698000,2.844535680e+00
35.162545,6.489310000e-03,-1.764310000e-04,6.491690000e-03,-1.554000,1.092150000e-02,-3.728890000e-04,1.092150000e-02,-1.698000,2.841009600e+00
35.903461,6.485020000e-03,-1.764310000e-04,6.487400000e-03,-1.554000,1.092150000e-02,-3.709810000e-04,1.092150000e-02,-1.692000,2.838071360e+00
36.903349,6.482150000e-03,-1.754770000e-04,6.484540000e-03,-1.548000,1.092150000e-02,-3.709810000e-04,1.092150000e-02,-1.698000,2.834080960e+00
37.902662,6.478820000e-03,-1.750000000e-04,6.481200000e-03,-1.548000,1.092150000e-02,-3.690740000e-04,1.092150000e-02,-1.692000,2.830116800e+00
38.911441,6.472140000e-03,-1.745230000e-04,6.474520000e-03,-1.542000,1.092150000e-02,-3.666900000e-04,1.092150000e-02,-1.680000,2.826092160e+00
39.919471,6.468800000e-03,-1.740460000e-04,6.471190000e-03,-1.542000,1.092150000e-02,-3.733650000e-04,1.092150000e-02,-1.716000,2.822091840e+00
40.927554,6.463560000e-03,-1.735700000e-04,6.465940000e-03,-1.536000,1.092150000e-02,-1.711850000e-04,1.092150000e-02,-0.786000,2.818110720e+00
41.931634,6.458790000e-03,-1.730930000e-04,6.461170000e-03,-1.530000,1.092150000e-02,-2.174390000e-04,1.092150000e-02,-1.002000,2.814112000e+00
42.942416,6.454970000e-03,-1.726160000e-04,6.457360000e-03,-1.530000,1.092150000e-02,-1.521120000e-04,1.092150000e-02,-0.702000,2.810105920e+00
