t_s,Vxx_X_V,Vxx_Y_V,Vxx_R_V,Vxx_theta_deg,Vxy_X_V,Vxy_Y_V,Vxy_R_V,Vxy_theta_deg,VB_V
1.161480,0.000604156,1.71663e-05,0.000604633,1.644,6.67575e-06,0.0,6.67575e-06,0.0,-0.000396314272
1.677312,0.000605587,2.00273e-05,0.000605587,1.92,4.7684e-06,0.0,4.7684e-06,0.0,-0.000394022496
2.597068,0.000606541,2.05041e-05,0.000606541,1.95,3.81473e-06,0.0,3.81473e-06,0.0,-0.00039204016
3.606062,0.000605587,2.05041e-05,0.000605587,1.956,3.81473e-06,0.0,3.81473e-06,0.0,-0.000393884992
4.614934,0.000604156,2.00273e-05,0.000604633,1.926,3.81473e-06,0.0,3.81473e-06,0.0,-0.00039233808
5.626188,0.000605587,2.00273e-05,0.000606064,1.92,3.81473e-06,0.0,3.81473e-06,0.0,-0.000390756768
6.635666,0.00060511,2.00273e-05,0.000605587,1.926,3.81473e-06,0.0,3.81473e-06,0.0,-0.000393678752
7.645681,0.000604633,2.00273e-05,0.00060511,1.926,3.81473e-06,0.0,3.81473e-06,0.0,-0.000394526688
8.654545,0.000606064,2.05041e-05,0.000606541,1.95,3.81473e-06,0.0,3.81473e-06,0.0,-0.000393667264
9.666068,0.000606541,2.05041e-05,0.000607017,1.95,3.81473e-06,0.0,3.81473e-06,0.0,-0.000392888128
10.674579,0.000606064,2.05041e-05,0.000606541,1.95,4.7684e-06,0.0,4.7684e-06,0.0,0.00038755056
11.978842,0.000606541,2.00273e-05,0.000606541,1.92,1.90736e-06,0.0,1.90736e-06,0.0,0.0055764224
12.867573,0.000606541,2.05041e-05,0.000607017,1.95,-8.58313e-06,-9.53682e-07,7.62945e-06,-175.236,0.009119152
13.967567,0.000606541,2.05041e-05,0.000607017,1.95,-2.47956e-05,-9.53682e-07,2.3842e-05,-178.452,0.0134965312
14.724410,0.000607017,2.05041e-05,0.000607494,1.95,-4.29156e-05,-9.53682e-07,4.19619e-05,-179.088,0.0165244864
15.726397,0.000607494,2.05041e-05,0.000607494,1.95,-6.00817e-05,-1.90736e-06,5.9128e-05,-178.728,0.0205038976
17.478894,0.000606541,2.05041e-05,0.000607017,1.95,-8.67848e-05,-2.86104e-06,8.58312e-05,-178.668,0.027436496
18.367338,0.000605587,2.05041e-05,0.000606064,1.95,-0.000104905,-2.86104e-06,0.000103951,-178.896,0.0309877504
19.467580,0.000604156,2.00273e-05,0.000604633,1.926,-0.000122071,-2.86104e-06,0.000121117,-178.746,0.0353346944
20.196426,0.000602726,2.00273e-05,0.000603203,1.932,-0.000140191,-2.86104e-06,0.000139237,-178.908,0.0382473408
21.197269,0.000601295,2.00273e-05,0.000601772,1.938,-0.000157357,-3.81473e-06,0.000156404,-178.788,0.04219736
22.205901,0.000601295,2.00273e-05,0.000601295,1.938,-0.000176431,-3.81473e-06,0.000175477,-178.914,0.0461991648
23.215541,0.000600342,2.00273e-05,0.000600819,1.938,-0.000193597,-4.7684e-06,0.000192643,-178.812,0.0502128352
24.227101,0.000598434,2.00273e-05,0.000598911,1.944,-0.000211717,-4.7684e-06,0.000210763,-178.914,0.054269984
25.234520,0.000597004,2.00273e-05,0.000597481,1.95,-0.00023079,-4.7684e-06,0.000229836,-178.836,0.0582613504
26.234982,0.000596527,2.00273e-05,0.000596527,1.95,-0.000248911,-4.7684e-06,0.000247957,-178.92,0.0622368384
27.245148,0.00059462,1.95504e-05,0.000595096,1.926,-0.000266077,-4.7684e-06,0.000265123,-178.992,0.066273984
28.478910,0.000593666,1.95504e-05,0.000594143,1.926,-0.00028515,-5.72208e-06,0.000284197,-178.926,0.0710940928
29.367646,0.000593189,1.95504e-05,0.000593666,1.932,-0.000302317,-6.67575e-06,0.000301363,-178.86,0.0746704384
30.467718,0.000592235,1.95504e-05,0.000592712,1.932,-0.00032139,-6.67575e-06,0.000320436,-178.926,0.0790499584
31.567716,0.000591759,1.95504e-05,0.000592235,1.932,-0.00033951,-6.67575e-06,0.000338556,-178.986,0.0833758016
32.295939,0.000590328,1.95504e-05,0.000590805,1.938,-0.000356676,-6.67575e-06,0.000355722,-178.932,0.0862865472
33.307247,0.000590328,1.95504e-05,0.000590805,1.938,-0.000374796,-6.67575e-06,0.000373842,-178.98,0.090298688
34.316747,0.000589851,1.95504e-05,0.000589851,1.944,-0.000392916,-7.62945e-06,0.000391962,-178.932,0.0942494272
35.325457,0.000587944,1.95504e-05,0.000588421,1.944,-0.000411035,-7.62945e-06,0.000410082,-178.98,0.098297728
