t_s,Vxx_X_V,Vxx_Y_V,Vxx_R_V,Vxx_theta_deg,Vxy_X_V,Vxy_Y_V,Vxy_R_V,Vxy_theta_deg,VB_V
1.260806,0.000596527,8.58313e-06,0.000596527,0.834,-9.53682e-07,2.86104e-06,2.86104e-06,101.31,-0.0003905536
1.987898,0.00059462,7.15259e-06,0.00059462,0.708,0.0,1.90736e-06,1.90736e-06,90.0,-0.000389568192
2.738033,0.000594143,7.15259e-06,0.000594143,0.708,0.0,9.53682e-07,9.53682e-07,90.0,-0.000389167104
3.811737,0.000593666,7.15259e-06,0.000593666,0.708,0.0,9.53682e-07,9.53682e-07,63.438,-0.000390462016
4.911643,0.000593666,7.15259e-06,0.000593666,0.708,0.0,1.90736e-06,1.90736e-06,90.0,-0.000389923424
6.011819,0.00059462,7.15259e-06,0.00059462,0.708,0.0,9.53682e-07,9.53682e-07,90.0,-0.000389866144
6.775502,0.000592712,7.15259e-06,0.000592712,0.708,0.0,9.53682e-07,9.53682e-07,90.0,-0.000391161024
7.786890,0.000594143,7.15259e-06,0.000594143,0.708,0.0,9.53682e-07,9.53682e-07,90.0,-0.000389465088
8.799735,0.000593666,7.15259e-06,0.000593666,0.708,0.0,1.90736e-06,1.90736e-06,90.0,-0.000389167104
9.811162,0.000593666,7.15259e-06,0.000593666,0.708,0.0,9.53682e-07,9.53682e-07,90.0,-0.0003906568
10.819515,0.00059462,7.15259e-06,0.00059462,0.708,0.0,9.53682e-07,9.53682e-07,63.438,-0.00175644736
11.827441,0.00059462,7.15259e-06,0.00059462,0.708,0.0,5.72208e-06,5.72208e-06,83.658,-0.00575124928
12.832979,0.00059462,7.15259e-06,0.00059462,0.708,1.90736e-06,1.90736e-05,1.90736e-05,84.288,-0.00973077696
13.842152,0.000593189,7.15259e-06,0.000593189,0.708,3.81473e-06,3.71935e-05,3.71935e-05,83.886,-0.0137376336
14.853980,0.000592235,6.67575e-06,0.000592235,0.678,4.7684e-06,5.43597e-05,5.43597e-05,84.426,-0.017740776
15.911886,0.000591759,7.15259e-06,0.000591759,0.708,5.72208e-06,7.24797e-05,7.24797e-05,84.804,-0.0219540672
17.011817,0.000589851,6.67575e-06,0.000589851,0.678,8.58313e-06,9.05995e-05,9.05995e-05,84.54,-0.0262902208
18.323077,0.000587944,7.15259e-06,0.000587944,0.714,9.5368e-06,0.000107766,0.000108719,84.744,-0.0315031616
21.655797,0.000578884,6.67575e-06,0.000578884,0.69,1.52589e-05,0.000174523,0.000175477,84.786,-0.04476088
22.657397,0.000577454,6.19891e-06,0.000577454,0.66,2.47956e-05,0.000189782,0.000191689,82.404,-0.0487235616
23.823001,0.000575069,6.19891e-06,0.000575069,0.666,2.76567e-05,0.000205995,0.000207902,82.284,-0.0533429312
24.711919,0.000573162,6.19891e-06,0.000573162,0.666,2.19346e-05,0.000227929,0.000229836,84.504,-0.0568682752
25.811872,0.000570301,6.19891e-06,0.000570301,0.672,2.19346e-05,0.000247004,0.000247957,84.762,-0.0612409472
26.911495,0.000568394,6.19891e-06,0.000568394,0.672,2.3842e-05,0.00026417,0.000265123,84.816,-0.0656013184
28.011865,0.000566963,6.19891e-06,0.000566963,0.672,2.57493e-05,0.000282289,0.000283243,84.612,-0.070013376
28.706171,0.000565056,6.19891e-06,0.000565056,0.678,3.14715e-05,0.000299456,0.000301363,83.91,-0.0727338688
29.717048,0.000563625,6.19891e-06,0.000563625,0.678,3.33788e-05,0.000317575,0.000319483,83.898,-0.0767252864
30.727212,0.000561241,6.19891e-06,0.000561241,0.648,3.43325e-05,0.000335695,0.000337603,84.108,-0.0807436352
31.736162,0.000560287,6.19891e-06,0.000560287,0.648,-2.9564e-05,0.000236512,0.00023842,96.888,-0.0847629824
32.748913,0.000557903,6.19891e-06,0.000557903,0.648,2.47956e-05,0.000360491,0.000361444,85.992,-0.0887913472
33.757416,0.00055695,6.19891e-06,0.00055695,0.654,3.24252e-05,0.000389101,0.000390055,85.104,-0.09283328
34.823156,0.000555519,6.19891e-06,0.000555519,0.654,3.52862e-05,0.000407221,0.000409128,84.954,-0.0970115328
35.775215,0.000555042,6.19891e-06,0.000555042,0.654,3.71935e-05,0.000425341,0.000427248,84.9,-0.100787
36.811930,0.000553612,5.72208e-06,0.000553612,0.624,3.91009e-05,0.00044346,0.000445368,84.936,-0.104934168
37.911924,0.000551227,5.72208e-06,0.000551227,0.624,4.10082e-05,0.000460627,0.000462534,84.882,-0.109255224
39.011924,0.000550751,5.72208e-06,0.000550751,0.624,4.19619e-05,0.000478746,0.000480654,84.912,-0.113644112
40.323137,0.000551227,5.72208e-06,0.000551227,0.624,4.38693e-05,0.000496868,0.000498775,84.942,-0.11881952
40.828024,0.000550274,5.72208e-06,0.000550274,0.624,4.57766e-05,0.000514988,0.000516895,84.9,-0.120820512
41.835122,0.000548366,5.72208e-06,0.000548366,0.63,4.67303e-05,0.000532154,0.000534061,84.924,-0.12480604
42.847431,0.000548366,5.72208e-06,0.000548366,0.63,4.86376e-05,0.000550274,0.000552181,84.948,-0.128881384
43.855086,0.00054789,5.24524e-06,0.00054789,0.594,5.0545e-05,0.000568394,0.000570301,84.906,-0.132847824
44.864666,0.000546936,5.24524e-06,0.000546936,0.594,5.14986e-05,0.000586513,0.000588421,84.936,-0.136869904
45.871759,0.000546936,5.72208e-06,0.000546936,0.594,5.3406e-05,0.00060368,0.000606541,84.888,-0.140922992
46.877118,0.000546936,5.24524e-06,0.000546936,0.594,5.53133e-05,0.000621799,0.000623707,84.918,-0.144865072
