t_s,Vxx_X_V,Vxx_Y_V,Vxx_R_V,Vxx_theta_deg,Vxy_X_V,Vxy_Y_V,Vxy_R_V,Vxy_theta_deg,VB_V
0.949939,3.102790000e-03,9.536820000e-07,3.102790000e-03,0.024000,6.768730000e-03,-6.675750000e-06,6.768730000e-03,-0.054000,1.480084160e+00
1.781557,3.100890000e-03,-3.337870000e-06,3.100890000e-03,-0.060000,6.750140000e-03,-3.337880000e-05,6.750140000e-03,-0.282000,1.480084480e+00
2.785798,3.100410000e-03,-3.814730000e-06,3.100410000e-03,-0.066000,6.747280000e-03,-7.438710000e-05,6.747750000e-03,-0.630000,1.480086560e+00
3.885893,3.100410000e-03,-3.814730000e-06,3.100410000e-03,-0.066000,6.749660000e-03,-7.534070000e-05,6.750140000e-03,-0.642000,1.480087200e+00
4.595533,3.100410000e-03,-3.814730000e-06,3.100410000e-03,-0.066000,6.750140000e-03,-8.821530000e-05,6.750610000e-03,-0.750000,1.480086720e+00
5.605252,3.100410000e-03,-3.814730000e-06,3.100410000e-03,-0.066000,6.751090000e-03,-5.006810000e-05,6.751570000e-03,-0.420000,1.480083200e+00
6.614242,3.100410000e-03,-3.814730000e-06,3.100410000e-03,-0.066000,6.751570000e-03,-3.242520000e-05,6.751570000e-03,-0.276000,1.480083520e+00
7.629764,3.100410000e-03,-3.814730000e-06,3.100410000e-03,-0.066000,6.750610000e-03,-2.241150000e-05,6.750610000e-03,-0.186000,1.480081920e+00
8.635676,3.100890000e-03,-3.814730000e-06,3.100890000e-03,-0.066000,6.739170000e-03,-8.106290000e-06,6.739170000e-03,-0.066000,1.476539360e+00
9.644365,3.105180000e-03,-4.291560000e-06,3.105180000e-03,-0.072000,6.735350000e-03,1.859680000e-05,6.735350000e-03,0.162000,1.472562080e+00
10.697105,3.112330000e-03,-4.768400000e-06,3.112330000e-03,-0.078000,6.716280000e-03,8.583120000e-05,6.717230000e-03,0.732000,1.468384960e+00
11.663064,3.118530000e-03,-4.768400000e-06,3.118530000e-03,-0.078000,6.696250000e-03,1.139650000e-04,6.697210000e-03,0.978000,1.464509440e+00
12.685903,3.124730000e-03,-4.768400000e-06,3.124730000e-03,-0.084000,6.674800000e-03,6.341980000e-05,6.675270000e-03,0.546000,1.460458720e+00
13.785861,3.129020000e-03,-4.768400000e-06,3.129020000e-03,-0.084000,6.654290000e-03,2.098100000e-05,6.654290000e-03,0.186000,1.456084480e+00
14.885865,3.133790000e-03,-5.245240000e-06,3.133790000e-03,-0.090000,6.632360000e-03,1.907360000e-06,6.632360000e-03,0.018000,1.451730880e+00
16.196958,3.137130000e-03,-5.245240000e-06,3.137130000e-03,-0.090000,6.611380000e-03,-4.768400000e-06,6.611380000e-03,-0.042000,1.446509280e+00
16.710734,3.139510000e-03,-5.245240000e-06,3.139510000e-03,-0.090000,6.589440000e-03,-8.106290000e-06,6.589440000e-03,-0.066000,1.444488160e+00
17.719998,3.140940000e-03,-5.722080000e-06,3.140940000e-03,-0.096000,6.567510000e-03,-8.106290000e-06,6.567510000e-03,-0.072000,1.440473600e+00
18.727825,3.142370000e-03,-5.722080000e-06,3.142370000e-03,-0.096000,6.546530000e-03,-7.629450000e-06,6.546530000e-03,-0.066000,1.436462560e+00
19.740872,3.142370000e-03,-5.722080000e-06,3.142370000e-03,-0.096000,6.524590000e-03,-7.629450000e-06,6.524590000e-03,-0.066000,1.432449760e+00
20.749949,3.142370000e-03,-5.722080000e-06,3.142370000e-03,-0.096000,6.503130000e-03,-7.629450000e-06,6.503130000e-03,-0.066000,1.428456960e+00
21.759410,3.140940000e-03,-5.722080000e-06,3.140940000e-03,-0.096000,6.481200000e-03,-6.675750000e-06,6.481200000e-03,-0.060000,1.424448160e+00
22.768564,3.139030000e-03,-5.722080000e-06,3.139030000e-03,-0.096000,6.459270000e-03,-6.675750000e-06,6.459270000e-03,-0.054000,1.420422880e+00
