t_s,Vxx_X_V,Vxx_Y_V,Vxx_R_V,Vxx_theta_deg,Vxy_X_V,Vxy_Y_V,Vxy_R_V,Vxy_theta_deg,VB_V
1.307788,0.000592235,5.24524e-06,0.000592235,0.546,-9.53682e-07,0.0,0.0,180.0,-0.000389408
1.950789,0.000592235,7.15259e-06,0.000592235,0.708,0.0,0.0,0.0,0.0,-0.000387769376
2.961785,0.000592235,7.15259e-06,0.000592235,0.708,0.0,0.0,0.0,0.0,-0.000386577664
3.971397,0.000592235,7.15259e-06,0.000592235,0.708,0.0,0.0,0.0,0.0,-0.000385787008
4.979486,0.000593189,7.15259e-06,0.000593189,0.708,0.0,0.0,0.0,0.0,-0.000387654816
5.988668,0.000593189,7.15259e-06,0.000593189,0.708,0.0,0.0,0.0,0.0,-0.00038763184
7.084920,0.000593189,7.15259e-06,0.000593189,0.708,0.0,0.0,0.0,0.0,-0.000388170464
8.396985,0.000592712,7.15259e-06,0.000592712,0.708,0.0,0.0,0.0,0.0,-0.00038712768
9.286597,0.000592235,7.15259e-06,0.000592235,0.708,0.0,0.0,0.0,0.0,-0.000387379712
10.031094,0.000592235,7.15259e-06,0.000592235,0.708,0.0,0.0,0.0,0.0,-0.000388823584
11.067093,0.000592235,7.15259e-06,0.000592235,0.708,0.0,0.0,0.0,0.0,-0.000388468352
12.084627,0.000592235,7.15259e-06,0.000592235,0.708,0.0,0.0,0.0,0.0,-0.000387173472
13.078335,0.000592235,7.15259e-06,0.000592235,0.708,0.0,0.0,0.0,0.0,-0.000389110048
14.090312,0.000592712,7.15259e-06,0.000592712,0.708,0.0,0.0,0.0,0.0,-0.000387872448
15.075465,0.000592235,7.15259e-06,0.000592235,0.708,0.0,0.0,0.0,0.0,-0.000388720416
16.082275,0.000592235,7.15259e-06,0.000592235,0.708,0.0,0.0,0.0,0.0,-0.000389705888
17.089622,0.000592235,7.15259e-06,0.000592235,0.708,0.0,0.0,0.0,0.0,-0.00039021008
18.098977,0.000592235,7.15259e-06,0.000592235,0.708,0.0,0.0,0.0,0.0,-0.000389660032
19.396048,0.000592235,7.15259e-06,0.000592235,0.708,0.0,0.0,0.0,0.0,-0.000390313216
20.285026,0.000593189,7.15259e-06,0.000593189,0.708,0.0,0.0,0.0,0.0,-0.000388628736
21.384888,0.000592712,7.15259e-06,0.000592712,0.708,0.0,0.0,0.0,0.0,-0.000388961056
22.138279,0.000592712,7.15259e-06,0.000592712,0.708,0.0,0.0,0.0,0.0,-0.000387070304
23.147961,0.000592712,7.15259e-06,0.000592712,0.708,0.0,0.0,0.0,0.0,-0.000389121472
24.158824,0.000592235,7.15259e-06,0.000592235,0.708,0.0,0.0,0.0,0.0,-0.000388571456
25.158534,0.000592712,7.15259e-06,0.000592712,0.708,0.0,0.0,0.0,0.0,-0.000387620352
